
21. Printing statistics.

=== similarity_asic_transfer_broadcast ===

        +----------------------------Count including submodules.
        |        +-------------------Area including submodules.
        |        |        +----------Local count, excluding submodules.
        |        |        |        +-Local area, excluding submodules.
        |        |        |        | 
       10    62.56       10    62.56   sky130_fd_sc_hd__or2_1
       43  269.008       43  269.008   sky130_fd_sc_hd__or2_2
      104  650.624      104  650.624   sky130_fd_sc_hd__or3_1
        1    8.758        1    8.758   sky130_fd_sc_hd__or3b_1
       31  232.723       31  232.723   sky130_fd_sc_hd__or4_1
        1    10.01        1    10.01   sky130_fd_sc_hd__or4b_1
     2506 2.19E+04     2506 2.19E+04   sky130_fd_sc_hd__xnor2_1
      564 4.94E+03      564 4.94E+03   sky130_fd_sc_hd__xor2_1

   Chip area for module '\similarity_asic_transfer_broadcast': 308686.054400
     of which used for sequential elements: 33512.140800 (10.86%)

