
21. Printing statistics.

=== similarity_asic_transfer_local ===

        +----------------------------Count including submodules.
        |        +-------------------Area including submodules.
        |        |        +----------Local count, excluding submodules.
        |        |        |        +-Local area, excluding submodules.
        |        |        |        | 
       17  148.893       17  148.893   sky130_fd_sc_hd__o41ai_1
        1   16.266        1   16.266   sky130_fd_sc_hd__o41ai_2
       26  162.656       26  162.656   sky130_fd_sc_hd__or2_2
        1    7.507        1    7.507   sky130_fd_sc_hd__or2b_1
       80   500.48       80   500.48   sky130_fd_sc_hd__or3_1
        1   11.261        1   11.261   sky130_fd_sc_hd__or3_4
        4   35.034        4   35.034   sky130_fd_sc_hd__or3b_2
       21  157.651       21  157.651   sky130_fd_sc_hd__or4_1
        1    10.01        1    10.01   sky130_fd_sc_hd__or4b_1
        1    10.01        1    10.01   sky130_fd_sc_hd__or4b_2
     2475 2.17E+04     2475 2.17E+04   sky130_fd_sc_hd__xnor2_1
      622 5.45E+03      622 5.45E+03   sky130_fd_sc_hd__xor2_1

   Chip area for module '\similarity_asic_transfer_local': 337062.019200
     of which used for sequential elements: 56974.643200 (16.90%)

