platform,split,topology,rows,cols,pe_count,sqrt_pe,seed,attempted,route_ok,error_stage,period_min_ns,fmax_mhz,critical_path_delay_ns,setup_violations,hold_violations,max_slew_violations,max_fanout_violations,max_cap_violations,drc_count,total_cells,dff_cells,cell_area_um2,wire_length_um,gds_sha256,odb_sha256,spef_sha256,netlist_sha256,elapsed_sec
sky130hd,discovery,local,6,8,48,6.928203230275509,157,True,True,,7.36,135.9,8.2574,0,0,0,0,0,0,28258,2695,324816.5248,989791.0,e0db4a92b5dec6fc1fd676c585170306ee88433de0d023972c70f5e07c25c77f,785611274eccccc65bcdbe7a6183606eb9c1c726e4cbe4783daf50a694bd5b4c,23000fe711a8ee2415a0da2ea7acb910d0d1ce3c773bd6af0af924c0acf9c861,b5392a23258558dcccc07e0199024dd94fe7894c93764bb58fad3d54318c503f,1260.640248298645
sky130hd,discovery,local,8,6,48,6.928203230275509,157,True,True,,7.47,133.81,8.3691,0,0,0,0,0,0,27697,2651,320065.7184,914736.0,7338951424c02c959cf172e8906fc6bf9d7b3a4f5a0c217d13a7b3104fb2f66f,562cae148776e0adc439233d5238dff2f4a9bc7f6e7d6ce473638b4f1d74a14a,4b56d39f02ff33ef0618737cd7f0813cb61363d72e7f1b29c0290f617e3a4a9b,d5771857fa1da1690ad89037f2339ee4381b24fab765c44bb60a84e5aff600a5,1392.793420791626
sky130hd,holdout,local,6,9,54,7.3484692283495345,157,True,True,,7.09,140.96,8.0218,0,0,0,0,0,0,31828,3048,365930.9568,1119517.0,e541d859b71df28c0f7515ec97f5268ad91a2171adc4ae323805c237a6f2e6bf,14e74a3e8ad46c81861508026b9f40f754570aee1c3fff0340421eaa099ff88a,18174573c979876f46c85bba41ea1e9616f4a1570d5ef99cdba8fbda2079addd,0b5b0349714470de5176308bd9185054d3c0ab7e3ed316948d2fe9345557f8b3,2261.4994580745697
sky130hd,holdout,local,9,6,54,7.3484692283495345,157,True,True,,7.27,137.55,8.2304,0,0,0,0,0,0,31983,3012,365945.9712,1114746.0,3c090f27f119f9c5d6c56f624a76d41fcc34e0c6ee012303703edbf43b35da46,03683273cb07d389ba9a29ef605186dcc8d285be713178ff21e6c7b89803319b,6491d392bbef78add6949befec8a49775829b0c617d77b2dfac4d7848a43929d,160ebd210aa66338cca5487da3f9558efb0e62de925aa0abc9012ea5ebf89258,1971.4884634017944
