platform,split,topology,rows,cols,pe_count,sqrt_pe,seed,attempted,route_ok,error_stage,period_min_ns,fmax_mhz,critical_path_delay_ns,setup_violations,hold_violations,max_slew_violations,max_fanout_violations,max_cap_violations,drc_count,total_cells,dff_cells,cell_area_um2,wire_length_um,gds_sha256,odb_sha256,spef_sha256,netlist_sha256,elapsed_sec
sky130hd,discovery,blocal,6,8,48,6.928203230275509,157,True,True,,7.57,132.06,8.4486,0,0,0,0,0,0,27710,2344,315536.3744,932051.0,6ce150db890cc4a2e319ee8ea4292d008e8cbbaf00ce74f01c17f53a45a2e6f8,e23fa09cea47df0a9912fc0fe3036350d8fcd2556ca7ea9bb295ed1606efd0fd,13d3a604ec44acfa87d0118c201e4a5c518510b6e7bf4ca22aa896e707f47d64,5790b36ba31ecaacc174a6d11471225056aacd152e26cf45cabcb370a1e64285,1633.387639284134
sky130hd,discovery,blocal,8,6,48,6.928203230275509,157,True,False,final_report,,,,,,,,,,,,,,,,,,1818.572255373001
sky130hd,holdout,blocal,6,9,54,7.3484692283495345,157,True,True,,7.15,139.78,8.0139,0,0,0,0,0,0,31153,2665,356239.1616,1056472.0,413125d8cf3214dd6a3469f6901342ca959577285a408165c2118ec7f4328c57,278847cc605d41b20bf309bbbd1a6512856a15b4ea0abbc1e4d94114e4997909,7e8b3a720c855cd158c278b28fdbeb15ad419b4554af6f04a3fb1b17946a0e51,6e92425081385587b968ac7ba468d9383bc52a7faed7fed6b59b5151abbb5bad,2127.593689441681
sky130hd,holdout,blocal,9,6,54,7.3484692283495345,157,True,True,,7.0,142.78,7.8938,0,0,0,0,0,0,30615,2625,351620.9824,1029311.0,33c215ce5097029644271f38b961cd9d135e69eb8c4b4a60bafe823c49ad95fc,8b25cc90404434dde38b7f7d82a63051463be4cc6179ce3b127ccba679dfccb2,5e692301913e59dea33a82b3d288ef3cbb014aeafb93f520aa66fc85fb88e02d,5f8e463175637d4e89311d324e7e87ecaa86eb5370f9326780a76f5b60b0aa96,1570.0311546325684
