platform,split,topology,rows,cols,pe_count,sqrt_pe,seed,attempted,route_ok,error_stage,period_min_ns,fmax_mhz,critical_path_delay_ns,setup_violations,hold_violations,max_slew_violations,max_fanout_violations,max_cap_violations,drc_count,total_cells,dff_cells,cell_area_um2,wire_length_um,gds_sha256,odb_sha256,spef_sha256,netlist_sha256,elapsed_sec
sky130hd,discovery,broadcast,6,8,48,6.928203230275509,101,True,True,,8.13,122.93,8.9959,0,0,0,0,0,0,26649,1614,298019.5744,854075.0,a9fc37287e22209152b3f563c056aeeba9b7ed8284923871fc009b705764e3eb,6159ad76407bf7ccd24d80a00ae1ff247d1b504e9917fabde3eb808a22f1b1ff,889534571ff10cbacb7ac430446239208fbc1e16e0f24a6b4e113eb80dd98719,bcf701d6f49b736a50839f2ba4ad7a08b9bd245511c2fe60ae3fab64536a5cee,1372.8544356822968
sky130hd,discovery,broadcast,8,6,48,6.928203230275509,101,True,True,,7.99,125.21,8.8485,0,0,0,0,0,0,26396,1601,295403.3152,849299.0,8d947a4ba89be5bba068bd68d9568a5de434994ba6981e85cbe96c6ab5849175,55521047f4a8639587b84b47474047ba310d739d9a793ee1ffb75b5fbce4ba6e,d86412fb55cc2945b7856cb3723720bfcd63296d77d273995ee2f973f212ff71,f81bc246de854c92fc8630c996b9ad380594f8d8987315bbf83231eced6d6dfc,1392.0075862407684
sky130hd,holdout,broadcast,6,9,54,7.3484692283495345,101,True,True,,8.6,116.23,9.4729,0,0,0,0,0,0,30096,1810,336574.0512,970955.0,6afa8dac5adb4ed8204841b53d9d6648cadb2bcf7bb93d2044e438fb7fb5509a,17bda4975f37d17428d14839433009ddce6a1564c01e2dbb12b7b6e8614f9b8e,9e4ed59ba05a5f4103e506be3426ead364313b69a220f01dfc0c3d9e6195f9ce,1ff95605711a345e79b9f4a21eeed62992f326c1f44071adc4e32dcd85bd9b63,1624.5639207363129
sky130hd,holdout,broadcast,9,6,54,7.3484692283495345,101,True,True,,8.48,117.88,9.3028,0,0,0,0,0,0,29413,1801,330971.1776,948859.0,dd965426e1e8b80ac662a0d26a0e195e83de4a1f6b2e40c40a91ae4311fd7d55,67001a067b4aa689d7bb348d6a209514047677646f4e7d32ace35a931ec23b0d,a6280e6d7233065f9f578690d443f814b61ab2207e0af7f7aaef43116573817c,44fd2c6a07e135dafb1bde43b0e61da6bd6cf2a311034fafb8c707d7baaaa603,1528.8895599842072
