platform,split,topology,rows,cols,pe_count,sqrt_pe,seed,attempted,route_ok,error_stage,period_min_ns,fmax_mhz,critical_path_delay_ns,setup_violations,hold_violations,max_slew_violations,max_fanout_violations,max_cap_violations,drc_count,total_cells,dff_cells,cell_area_um2,wire_length_um,gds_sha256,odb_sha256,spef_sha256,netlist_sha256,elapsed_sec
nangate45,discovery,blocal,6,8,48,6.928203230275509,157,True,True,,1.55,646.14,1.7838,0,0,0,0,0,0,31353,2344,66842.874,443728.0,afe8d6a431755ba434ec6ac1842a068adb49a1d472eb63af74a9049418762f63,20c26ddf504298b663750b1dda1c92b70ebf334307a4536664575c21f5e81a33,d2a2dbdc42e24d1e840098c8e5bd05af5ff4836398ce7de22cfcc50500002ea1,b8422e0b17e30281ffea5e48361442248d02e7a4d59ce59c8fa4a13ca99185e7,899.8211019039154
nangate45,discovery,blocal,8,6,48,6.928203230275509,157,True,True,,1.51,660.91,1.7555,0,0,0,0,0,0,31065,2317,66453.45,431180.0,60b7ebb384b8643ea842b269b6486db9b7ed61d3a7b6d533a6fc9922f10b4da3,26097233eaa9fd335eeaaad4afc0d6e679b41504b5571310b6a8db36568d4641,7eb7308f7ed09ef659b880d8293c94d05054fc969a41c89cc29af80c566cff25,8e1b204af0b1d2b15f7aa6ddf9807631d5cb5a64849e21a6e59c2a6da253a0c3,893.3327674865723
nangate45,holdout,blocal,6,9,54,7.3484692283495345,157,True,True,,1.53,652.28,1.7709,0,0,0,0,0,0,35299,2665,75558.63,505108.0,25a1d40d276fd6ed2e4dc75cfbc249c76b33b88ae072d80e97e13002d28a0716,37279aab19bc02dceca6ddb53bff9aa715a67569e91eb44e2b94e46f2bf88ada,544aa7e8fa2beeb5720181f74d87824b88eee72ba050ca234b022ae243b8a734,8a0816388cee87ce3a73d920ae41e7f72aaaffdf0c8b0c5996c7a0720d1282b3,1012.0350313186646
nangate45,holdout,blocal,9,6,54,7.3484692283495345,157,True,True,,1.52,659.74,1.7629,0,0,0,0,0,0,35372,2625,75248.74,507772.0,4ec76f2d1d73a39063f79a759fe57ac384413a9144ad2dbd35746b4b256fbf5d,f05b1fb769a0912b4d9940121ac78b38f3448f4ae4062a82e91003c4c36bff39,d94c4d611958ecdaec175c4690c7dcf4fd617dc9b15df4e5eb4839485110f397,3c1d61ee3fc5ad4e981a4df1fd1a324a198bc47aff587c9ac8498f0e6b5ff6f3,1003.2400515079498
