platform,split,topology,rows,cols,pe_count,sqrt_pe,seed,attempted,route_ok,error_stage,period_min_ns,fmax_mhz,critical_path_delay_ns,setup_violations,hold_violations,max_slew_violations,max_fanout_violations,max_cap_violations,drc_count,total_cells,dff_cells,cell_area_um2,wire_length_um,gds_sha256,odb_sha256,spef_sha256,netlist_sha256,elapsed_sec
nangate45,discovery,broadcast,6,8,48,6.928203230275509,131,True,True,,1.71,585.55,1.9239,0,0,0,0,0,0,29770,1614,62766.424,425256.0,a5f2509c8506b64f125b1121803ab09c2eeea3aa71f231a44b06b47dabb91c18,c9854131aaa96b7d402b1c7f1e8fb044736ebbab53c54c27d85d73f9e04cfd36,197da858c88324478756851e08d0a35d3d6f8d52d6746bb91803f451c657f33a,0266d3f5619c5800090d4b3e3061df129aaf3c2954afac383e400ab410b57ed6,665.1282231807709
nangate45,discovery,broadcast,8,6,48,6.928203230275509,131,True,True,,1.72,582.28,1.9408,0,0,0,0,0,0,29685,1601,62366.892,415887.0,23edc3552becaa04d0e0c0ef40606cab60a07b1664a013b3518f531794956bd4,6da59554510f71caa907aedd6824c520d1d2f8c05889e5a7aa17e1083ba450d5,2aed34b51b770e2a94533289fcf4ed11294a63f26f67371fbb91cb15bcda399c,b131cf8fcd20151ad2e3875ac35ed4008a029ed1dfdefbba1c0788de5b28d6bc,639.9906923770905
nangate45,holdout,broadcast,6,9,54,7.3484692283495345,131,True,True,,1.69,591.29,1.928,0,0,0,0,0,0,33571,1810,70753.074,480896.0,bdf104a6908f3cbde22d8f53db1f943d1e481c90309325d8791ebf00bc9b7c1b,fbb50df1ed37a016a3ec9c1fb85a4d633fa27fedc43df56dfcc92e31aaf147b9,e444bf52147a4ef157a03a4c712b3ad79a61de324ce7dc67edc5768f0bb9d16b,6c3ce32fbdadade97c8c1653626ecf31153314746246e2a3c4306a396b87b82e,756.7281928062439
nangate45,holdout,broadcast,9,6,54,7.3484692283495345,131,True,True,,1.74,573.56,1.985,0,0,0,0,0,0,33605,1801,70481.488,474381.0,aea974570e6ef60e4ba6bd38090eb8f7f901004af3ac4cb34a8d40f0de200d5e,60c17a1d98d8f442d20cb2c99c24cec5525071c6a1847b29255695bc9f730994,78d0459d36f75ba61039fb0727dce17589585606cbcaeb400a2363142ba5ce69,43f8ebdb45499fe3b8b2290b1477bfecbb8997ae596df3e40b51c2f086626755,738.8123755455017
