platform,split,topology,rows,cols,pe_count,sqrt_pe,seed,attempted,route_ok,error_stage,period_min_ns,fmax_mhz,critical_path_delay_ns,setup_violations,hold_violations,max_slew_violations,max_fanout_violations,max_cap_violations,drc_count,total_cells,dff_cells,cell_area_um2,wire_length_um,gds_sha256,odb_sha256,spef_sha256,netlist_sha256,elapsed_sec
nangate45,discovery,local,6,8,48,6.928203230275509,157,True,True,,1.52,659.09,1.7641,0,0,0,0,0,0,31537,2695,68187.504,445375.0,7138e2f04278ec2801b75b058c587b6f0fe9fb5eb15fc1b58064c48d2dfc440a,1636334c2073a623f117c1abb85c47defdfa661d39403dab699c520c94f8164e,d049cf3fdfacd39e068de1a50fd99f242e8bd584a706d643d9bfba857ed3fa82,d61b98f38a9488d9c40c3d6402aec65ee4c1bb34ad607c4d62347bd85456034e,887.6659820079803
nangate45,discovery,local,8,6,48,6.928203230275509,157,True,True,,1.53,652.84,1.777,0,0,0,0,0,0,31648,2651,67994.122,436266.0,a995a29369edde73a050b5010442b27a763785fb2419eaa7c8e71833c2692b8e,52aa2e6dab88fa6454f33a6796b88cccb5ba7cc3b7ebf5111122b95c584275c0,feb1f0b460ccb84045dcc9c1a15d8029778019bdcb35c617c200a168884e63d2,7593f6ba6cc75a387919201bf3e081899dd4616bd926ae98b7490b2a7ddd1085,906.5685610771179
nangate45,holdout,local,6,9,54,7.3484692283495345,157,True,True,,1.57,635.98,1.8348,0,0,0,0,0,0,36831,3048,78346.31,544287.0,04f0cdad766bf9f67e8a770128357b5a1ca690f377e25c4df0f7cac1cf4e7884,c40b2753493f85d5bbade479f14d184546f42eaf70a968bfa5d433c84ad983c5,916767ec1ba39f3c4687132b717de14a9f0ae675622ac7ce229f0a8a6ab64f2e,98e367db063a981fd2968396e5947cb9c18772087485e57c6512b73b5e9db2a1,1057.9392852783203
nangate45,holdout,local,9,6,54,7.3484692283495345,157,True,True,,1.49,669.42,1.7481,0,0,0,0,0,0,36398,3012,77646.198,523866.0,2ffa2367afaaa4699f07833674a0dc08a444996fa6e1cd0e95cc02ecff5b6864,16591c393a5896557f5b291e03e8487076fb04d32db06ddd9f12d96a73767cc2,d1f63f2fb3b72db1b4a50a81366b314f0b6b2143feae76062ca7cd9b3f9ef93a,189b2f960308e8bcf82bcfe0dd518d802af2b944c163ab48bc787c68631dbe3d,1044.4817979335785
