platform,split,topology,rows,cols,pe_count,sqrt_pe,seed,attempted,route_ok,error_stage,period_min_ns,fmax_mhz,critical_path_delay_ns,setup_violations,hold_violations,max_slew_violations,max_fanout_violations,max_cap_violations,drc_count,total_cells,dff_cells,cell_area_um2,wire_length_um,gds_sha256,odb_sha256,spef_sha256,netlist_sha256,elapsed_sec
sky130hd,discovery,local,6,8,48,6.928203230275509,131,True,True,,7.21,138.76,8.1622,0,0,0,0,0,0,28258,2695,324816.5248,981832.0,fd6331e009808bd580f00f44b1d6a63668a7e37deb84420b5aea6c351cf06e9e,d00ecaf29840cfc428d317aaae83f5fa4d31c2a7906cc0b2eeeeae788a0bcf71,42831b702a33723ad9cd26c9554de8f913f5c9ec624ba18dc975caa974fade71,52fa96ce38905718242d139c40db0acaa18784bc3c8c813d53ed64d686837ba6,2530.7486560344696
sky130hd,discovery,local,8,6,48,6.928203230275509,131,True,True,,7.33,136.41,8.1968,0,0,0,0,0,0,27697,2651,320065.7184,930570.0,496a56fa05b530f11816e73463e01b879dd8feb6c3e71e5aeae2d042cac01bf5,6629043e64ad9f7871e6dadc3ecbaa411288ccdaa7748b7529a775abbeaff5b9,e872b5de49da5314d0bc145a8464cacf7e5efd93263e935207538b94f63c5042,4ce28f5b0fd33e9cedcbde0e7ab40b55413a3f057a6cdae49233ed0346d22517,1845.1800577640533
sky130hd,holdout,local,6,9,54,7.3484692283495345,131,True,True,,7.14,140.15,8.0203,0,0,0,0,0,0,31828,3048,365930.9568,1121958.0,b584ff09fed47a02c9fffe0ee1b644ba1d02dee481ae442d79897994157316fd,f540ac496a0acec93c602301e5e603ff8f23f5992eeb5e43f2e10a938720072f,b0fe7500de8e91df1535fa8f1665390f553b1469904ff439c8e1458429460d43,9c97551805f4dce14093af1b4bc824c92602b305390a9debeea913ae6840ca82,2882.446790933609
sky130hd,holdout,local,9,6,54,7.3484692283495345,131,True,True,,6.92,144.5,7.8766,0,0,0,0,0,0,31983,3012,365945.9712,1154584.0,90e759622ff5d850e72e490294218559eb152555d6a02cc1862c18932b52d80c,1769590064bf5a89b152aa07a802aef55e6ea2e6204a656c5f44907f8aeccbf9,7fea2c8a9ebdf5c7e080463c5c2b1e9fa2f575d1dc3091724b19968d47afc3db,0a94a381e546e3967a6e38b59673a29c797ce18617d907f66aa1aa59270cf095,2630.616834640503
