platform,split,topology,rows,cols,pe_count,sqrt_pe,seed,attempted,route_ok,error_stage,period_min_ns,fmax_mhz,critical_path_delay_ns,setup_violations,hold_violations,max_slew_violations,max_fanout_violations,max_cap_violations,drc_count,total_cells,dff_cells,cell_area_um2,wire_length_um,gds_sha256,odb_sha256,spef_sha256,netlist_sha256,elapsed_sec
nangate45,discovery,blocal,6,8,48,6.928203230275509,131,True,True,,1.53,652.38,1.7591,0,0,0,0,0,0,31353,2344,66842.874,453880.0,24d6e4b341e5135f01cf926d8725a079586a389bd8b1e4470b737ca36b768154,62217e2ef6bceffde29e8b03982d5e6ae5d1dc32bc5165875444d6dca69728d9,54a5087754b784721dd6348823a18879aa5ad7fe2c58de2aa9388df5a6ef54f6,c1f1ac6d172ff7f626810f3ad4790f519aa391d64caf6c21330f8401fd1c7f15,916.1785771846771
nangate45,discovery,blocal,8,6,48,6.928203230275509,131,True,True,,1.51,662.76,1.7439,0,0,0,0,0,0,31065,2317,66453.45,435761.0,e83e3fb14600ab81f0df3100f1ad238de975cd1b7575bce6df1916dbaf4a0cb6,0779d52a4d19c786af5152a128d7e79c535d838b1189b44fdc8d6f3f5b69cc13,f5a542e4dd446c3a11807d15dbc60965b5ace93c800ba8cc32f0a0e55ecfdf18,de87211a7a612910c74f3363fc1e5c788de030c3ec2a1fc8cd82e0d34ab1fe06,911.9875848293304
nangate45,holdout,blocal,6,9,54,7.3484692283495345,131,True,True,,1.52,656.24,1.7729,0,0,0,0,0,0,35299,2665,75558.63,503870.0,97f740cf3d247f836aeb39b24e00526914d3bb7d50e28aa6f97d8934e36b3a5d,a71ff6d152a705db7265dfaba642f308446f371693706f962417768dc719f9b1,23889e1c37fbbc1ea640f0e0a8d4af19bf6a68f096038742a41b0305e9edbb9c,d0764f9c05bcec22459e72b5d1ac36a855571707bccd8ff0c24179fb1c99ba63,1041.4885063171387
nangate45,holdout,blocal,9,6,54,7.3484692283495345,131,True,True,,1.53,655.05,1.7736,0,0,0,0,0,0,35372,2625,75248.74,505689.0,997c0d3bec235a5e713c610b00b97e5051ba5710d209250d15b7ebe7c9ef980f,287c8747314dbaa34c4b8b73648808f50f325d8901c3b6ff73f7add576bd58c4,e68d36ae32d93aa04d910f294131f9b66c61c80810500ff9dc88f84ddfa10b4d,c323bf8ea69ddbbee51a6b47b36f94e28dac78703a144100a310c3bccf79ffcb,1037.70507979393
