platform,split,topology,rows,cols,pe_count,sqrt_pe,seed,attempted,route_ok,error_stage,period_min_ns,fmax_mhz,critical_path_delay_ns,setup_violations,hold_violations,max_slew_violations,max_fanout_violations,max_cap_violations,drc_count,total_cells,dff_cells,cell_area_um2,wire_length_um,gds_sha256,odb_sha256,spef_sha256,netlist_sha256,elapsed_sec
sky130hd,discovery,local,4,7,28,5.291502622129181,53,True,True,,7.27,137.64,8.0796,0,0,0,0,0,0,16541,1608,189972.1984,531743.0,3384cc3a468188315a87e6e1a4241fee25156d61c0b43d53d822c12d838af128,770824e323e559e846389f15d86a86ba974777b4f9d1e82f3568ff22456928c8,ccc3e1f1a99e635faf9b6d4bc5b103c42234f01caa253098537c13191879dace,00784b1ef6791f5169649660cd71e38fcd1ba2f42de2b8f8e772aa7e83948251,559.253523349762
sky130hd,discovery,local,7,4,28,5.291502622129181,53,True,True,,6.91,144.78,7.6889,0,0,0,0,0,0,16651,1612,191626.2848,521031.0,257c2bbaaf5151d98a4ba6e61bf4395ffd8b7e02377e49b878c2c494edb4fc2b,9729e20830d42128f365be31a5d47418b51d6a19c120509df90462ba26168ceb,81435b7d93f9e38a625b260bc2b3ef296e81ebcab256902a40e872fcf53f3087,790a2e58caacb2f0f65de527d0e89ee308f611aa7ce6ad010ef080ec7b187a32,538.4302582740784
sky130hd,holdout,local,5,8,40,6.324555320336759,53,True,True,,7.31,136.73,8.2259,0,0,0,0,0,0,23668,2284,272565.1616,786930.0,aec9296c505964f9e267cde6957778230dc1e6d8bc4fc6c606c84ea896f41bae,7290533f5f0ea656dbe50eadf8ee6d3829cb9e9795f4c1e0353e137024289b40,28fcdba5754d1b721716f4e59d166cf7c13a8e84af4570b0fb37b6288705b38d,542c448cc3e891772d005a9e2396ad29799c5737a9f19828eef7790b70eb34bd,821.7803673744202
sky130hd,holdout,local,8,5,40,6.324555320336759,53,True,True,,7.14,140.02,7.9688,0,0,0,0,0,0,23251,2232,268277.2992,748108.0,90916deca49e6a5f9b7bbdb77ded653919f14e85db47b028f81f87d1f66e8dfa,7ae7992e8a5e5feb9baf93d773d9c976279e7ae7cc0e315ad650706cf17cd5bc,738fc802271621eb1b3b4a094cd5018dda62c67c2ab4d8d2f4b7e81c7a5c5a1f,88dda9ba214b0b154618315c2717c8e6a1dc1132cf6bdf3f3f480cd4eaa1d0e3,904.4711022377014
