platform,split,topology,rows,cols,pe_count,sqrt_pe,seed,attempted,route_ok,error_stage,period_min_ns,fmax_mhz,critical_path_delay_ns,setup_violations,hold_violations,max_slew_violations,max_fanout_violations,max_cap_violations,drc_count,total_cells,dff_cells,cell_area_um2,wire_length_um,gds_sha256,odb_sha256,spef_sha256,netlist_sha256,elapsed_sec
sky130hd,discovery,stride2,4,7,28,5.291502622129181,89,True,True,,7.34,136.24,8.1408,0,0,0,0,0,0,16083,1281,182010.8128,506506.0,612fac998023991dd5080fbd0ebb259078cf2517ab89c64741c8af043d9a0678,8bcedba65556e24330b2a80db5188cdb4930bca1a9197d3efc0e95fb70decc9e,ffeefa0d6934ae0f8d03a87a7a6c0f3b073edd5d6adba3825823b2cb1d900ad8,93fcf866614f2d8399b35ff8ba94630517249365ceced084dabeb4b88b30ef15,510.5956676006317
sky130hd,discovery,stride2,7,4,28,5.291502622129181,89,True,True,,7.48,133.69,8.2714,0,0,0,0,0,0,16164,1287,183259.5104,490842.0,63edc0053136093f28beef294dfad211f92eeabce60c162362feaa82a402758b,0bde9327be3ebfac8a2f7094f6d4ed8c45b2ee8dcf4992e4ce91010ea0b56969,50d7dceb9080074ab2873cccacf5027b778643d687bd08cb0ee3d316dfdee730,3a6c9615316264cdf4c1a49cc727f12dd09a371561307f43e0a41f8065acab61,573.3028535842896
sky130hd,holdout,stride2,5,8,40,6.324555320336759,89,True,True,,7.51,133.21,8.3305,0,0,0,0,0,0,22981,1831,260486.0768,723567.0,bb66b3a60eda43aef16c0759fed2e6d7e5c9ee21d833f9e302f70fef9cfed254,2f7359a0723527fcfc0089ab9d39b663ecbd30d6a3d815d5d780ce23505b611c,5004d122d4dcc453d33485dcdda3f417a3ab01d3484bb015189d27b671254ab4,115c0550f6b462218552fef5be14880d938913b9de86b2b25a739febd6dacdbb,825.1092653274536
sky130hd,holdout,stride2,8,5,40,6.324555320336759,89,True,True,,7.59,131.76,8.4529,0,0,0,0,0,0,22557,1796,256861.3504,704805.0,ede826267291917dc16d262d0ddc00ad1bcbc05c2b25c36575c711a501920217,f1a3b1ae113ae1b5edb2615d4d6b8e0ae7caaa98cc186250377c8aa81e7ddae6,beee46fbe709b33ddfdc950b1b11a103a96cc358538aef3e54a6c46cefa1a987,58edb7333903146091f28a28a08946ce26a202eb42403fb12171cc107aa3fcda,788.3574116230011
