platform,split,topology,rows,cols,pe_count,sqrt_pe,seed,attempted,route_ok,error_stage,period_min_ns,fmax_mhz,critical_path_delay_ns,setup_violations,hold_violations,max_slew_violations,max_fanout_violations,max_cap_violations,drc_count,total_cells,dff_cells,cell_area_um2,wire_length_um,gds_sha256,odb_sha256,spef_sha256,netlist_sha256,elapsed_sec
nangate45,discovery,broadcast,4,7,28,5.291502622129181,53,True,True,,1.65,605.65,1.8543,0,0,0,0,0,0,17734,962,37019.22,232129.0,cba0c5f30227d8829ae6011ddea5e75e2d4b56d6422f967ed551025331b482c2,5dbdb8cf0670a45dc100feaadf165fb56aaa04d497852dbf600d495f6b200a93,6c8cb5094447735e038da2a9fbf818793465a1c6d27cd1ac7cbd5f7fb5ad7a55,ee3ddc99085941b339845bf40c034b7cf588c13b70e5476ce5ab188dc522c72f,412.8663125038147
nangate45,discovery,broadcast,7,4,28,5.291502622129181,53,True,True,,1.69,591.36,1.8775,0,0,0,0,0,0,17534,966,37004.058,239710.0,fbcdaa38842d363f12138183fa741c1f113e421dd3dec2ae6fbd8b6dcefdde5a,1824a56ec22de6eaebd4d40623e1991346dd8086d9352c3e52cec18ef859aab2,ec47001c3eb08fee7f9ff91a587133be4b4de565e1117f0dd95f0c25b5cd2ecc,e9ba35684005b2fbd0a080f120b2d04dc71ae03f8c68051e321fb44333333606,416.0452992916107
nangate45,holdout,broadcast,5,8,40,6.324555320336759,53,True,True,,1.75,573.04,1.9527,0,0,0,0,0,0,25017,1359,52662.148,346624.0,a5c078946dcbe45f17944c44a0f19c0b8a0e86f53d2afbb09f8e2ebc7e562673,d11fe531327f92f3966b0a4f154a2389ff101189baeb3d1d014aad4132a9cb28,445cc788c6d742c90c7f71fcfdd696058969ec2b5426c9cc30a5f3416ebae84f,2da8068d50cfea1bd85a436fb28d2d6c72e5403914f0abc7ef53d1d750f37c19,566.4097046852112
nangate45,holdout,broadcast,8,5,40,6.324555320336759,53,True,True,,1.67,599.57,1.8664,0,0,0,0,0,0,24908,1344,52210.746,342243.0,ae9a378ea45bd930f0cee8df05c7ffde5826692ac5b5221b71b05a9503f28445,89c144d1172484cf502f97080300d3afde60d64d2290a21371a038248d2aa4b0,3c50e0ee376c601a0bbecac207b212259996cda3f39c71f7d9e0af2825e6f45d,c063af9c6aaabec48420006257cf685b5fb35251f224311a08f41cbf4b472389,557.4908657073975
