platform,split,topology,rows,cols,pe_count,sqrt_pe,seed,attempted,route_ok,error_stage,period_min_ns,fmax_mhz,critical_path_delay_ns,setup_violations,hold_violations,max_slew_violations,max_fanout_violations,max_cap_violations,drc_count,total_cells,dff_cells,cell_area_um2,wire_length_um,gds_sha256,odb_sha256,spef_sha256,netlist_sha256,elapsed_sec
nangate45,discovery,stride2,4,7,28,5.291502622129181,89,True,True,,1.53,652.72,1.733,0,0,0,0,0,0,18139,1281,38649.8,236593.0,ff5e5525c417d10aef15c4d9fc78bcdaa3f61251bf8454faebde7168b09d63dc,d3c3d85c710bd1447d994af896f1cdca6228fb2ca2073efbf8249bf6e0dcd4fa,b95b066fb9894ded454aaf74bb1b16a526af076b226637a1f11fb3a6a3b115e4,c97a2bbc97f1cbb5b72f2f384b4e1d6dc015ab7a885417cbd485186c0b06d427,543.9508810043335
nangate45,discovery,stride2,7,4,28,5.291502622129181,89,True,True,,1.57,635.8,1.7512,0,0,0,0,0,0,18354,1287,38896.116,237178.0,5e3647a3601f2895adff87aa3f76ed34714b54e535b66549e3675c263dec47b9,87b80ef65d48c9df4f39f04c9bc20ed201346f26d17fc78b713cedb635944fae,cca9d666e3ce260400bb005b5240866f6f9238154065e5a2739958540628b3ac,883d7e24bbb1b82826e1ba5a11b0999a3067f5354facaefd78c746b27a5d5cc5,555.3072431087494
nangate45,holdout,stride2,5,8,40,6.324555320336759,89,True,True,,1.56,639.85,1.7782,0,0,0,0,0,0,26107,1831,55387.052,356541.0,031a93db170835636d0a9b17f4b92eff0694d5e7e3dcb367f9f6159fcd2d9b45,1231f0677bcf720af4a9e8d4a9662845e8e549ad04205ba7b314ed778e01720e,c6dd292ff47247c6c7044822e2f62d835db691307f619e563ffa9f660402af93,c5885aaa9c6d51d342cb692c830bdf6b701b82a1c1390060f3ebced97bdb6647,787.4396779537201
nangate45,holdout,stride2,8,5,40,6.324555320336759,89,True,True,,1.55,645.45,1.7634,0,0,0,0,0,0,25554,1796,54358.43,343916.0,7c1c62da532bebd7dbdb1310776cc47479594948fb1dd71883271a8923213136,f6d099b78c872d8b5ec93762e0dd4a79a66ea920bb30cb68ea931b2fe9f2d215,3e28988023fab4478047ca3e87e271d970f2ea2fd82b306ab8ad9c718ed61dbe,b0b8e7a0f62885c1462811aef9a6c49303412a52805c2d4b451b20e405ca0ec6,784.5942952632904
