name,topology,rows,cols,k_tile,pe_count,seed,route_ok,routed_fmax_mhz,routed_period_ns,synth_dsp,synth_bram,synth_lut4,synth_ff,elapsed_sec,error_stage,timing_metric,phase
r15_c10_k352,local,15,10,352,150,45,True,51.329429626464844,19.482001013399376,150,7,0,8643,90.73317837715149,,post_route_report_json,deployment
r15_c10_k480,local,15,10,480,150,45,True,52.303993225097656,19.118999111527835,150,7,0,8643,65.41313481330872,,post_route_report_json,deployment
r09_c12_k352,local,9,12,352,108,46,True,57.22787857055664,17.474000871220365,108,5,0,6209,32.64789438247681,,post_route_report_json,deployment
r09_c12_k480,local,9,12,480,108,46,True,62.057838439941406,16.11399986107773,108,5,0,6209,37.65383744239807,,post_route_report_json,deployment
r12_c09_k352,local,12,9,352,108,46,True,56.48760223388672,17.70299960439998,108,5,0,6211,44.847535371780396,,post_route_report_json,deployment
r12_c09_k480,local,12,9,480,108,46,True,60.201072692871094,16.610999692675215,108,5,0,6211,31.98436951637268,,post_route_report_json,deployment
r10_c15_k352,local,10,15,352,150,46,True,57.890472412109375,17.273999646802377,150,7,0,8635,61.5538330078125,,post_route_report_json,deployment
r10_c15_k480,local,10,15,480,150,46,True,58.93794250488281,16.966998804160042,150,7,0,8635,80.97953581809998,,post_route_report_json,deployment
r15_c10_k352,local,15,10,352,150,46,True,54.534549713134766,18.33699930154824,150,7,0,8643,55.93110370635986,,post_route_report_json,deployment
r15_c10_k480,local,15,10,480,150,46,True,56.26511764526367,17.773001139084595,150,7,0,8643,62.85356259346008,,post_route_report_json,deployment
r09_c12_k352,broadcast,9,12,352,108,41,True,48.299842834472656,20.704001117085998,108,5,0,3662,42.163374185562134,,post_route_report_json,selection
r09_c12_k480,broadcast,9,12,480,108,41,True,48.785247802734375,20.497999806079715,108,5,0,3662,45.46543002128601,,post_route_report_json,selection
r12_c09_k352,broadcast,12,9,352,108,41,True,47.05882263183594,21.250000405311592,108,5,0,3663,40.830963134765625,,post_route_report_json,selection
r12_c09_k480,broadcast,12,9,480,108,41,True,48.997989654541016,20.409000594727917,108,5,0,3663,48.057366371154785,,post_route_report_json,selection
r10_c15_k352,broadcast,10,15,352,150,41,True,47.2478141784668,21.16500027329836,150,7,0,5033,72.72106504440308,,post_route_report_json,selection
r10_c15_k480,broadcast,10,15,480,150,41,True,45.901039123535156,21.785999164608523,150,7,0,5033,59.74262309074402,,post_route_report_json,selection
r15_c10_k352,broadcast,15,10,352,150,41,True,45.388526916503906,22.031999448662123,150,7,0,5037,77.80295085906982,,post_route_report_json,selection
r15_c10_k480,broadcast,15,10,480,150,41,True,46.26416778564453,21.615000287766843,150,7,0,5037,63.28628945350647,,post_route_report_json,selection
r09_c12_k352,broadcast,9,12,352,108,42,True,49.372962951660156,20.254000169669283,108,5,0,3662,22.035526275634766,,post_route_report_json,selection
r09_c12_k480,broadcast,9,12,480,108,42,True,48.969200134277344,20.420999266026858,108,5,0,3662,21.24224066734314,,post_route_report_json,selection
r12_c09_k352,broadcast,12,9,352,108,42,True,46.641788482666016,21.44000117773444,108,5,0,3663,20.74074912071228,,post_route_report_json,selection
r12_c09_k480,broadcast,12,9,480,108,42,True,48.40974044799805,20.656999825772758,108,5,0,3663,19.851955890655518,,post_route_report_json,selection
r10_c15_k352,broadcast,10,15,352,150,42,True,45.11820983886719,22.163999936419188,150,7,0,5033,35.424009561538696,,post_route_report_json,selection
r10_c15_k480,broadcast,10,15,480,150,42,True,44.06839370727539,22.69200022679535,150,7,0,5033,34.79842019081116,,post_route_report_json,selection
r15_c10_k352,broadcast,15,10,352,150,42,True,46.492164611816406,21.50900067461778,150,7,0,5037,35.812511920928955,,post_route_report_json,selection
r15_c10_k480,broadcast,15,10,480,150,42,True,43.90586853027344,22.775998595962,150,7,0,5037,30.417400360107422,,post_route_report_json,selection
r09_c12_k352,broadcast,9,12,352,108,43,True,47.62358474731445,20.997999317058785,108,5,0,3662,64.65122699737549,,post_route_report_json,selection
r09_c12_k480,broadcast,9,12,480,108,43,True,45.75193405151367,21.8569995068201,108,5,0,3662,32.028534173965454,,post_route_report_json,selection
r12_c09_k352,broadcast,12,9,352,108,43,True,45.51247024536133,21.97200008281073,108,5,0,3663,29.62286353111267,,post_route_report_json,selection
r12_c09_k480,broadcast,12,9,480,108,43,True,46.298439025878906,21.599000334353423,108,5,0,3663,26.289360761642456,,post_route_report_json,selection
r10_c15_k352,broadcast,10,15,352,150,43,True,44.59309005737305,22.424999001267,150,7,0,5033,54.07463979721069,,post_route_report_json,selection
r10_c15_k480,broadcast,10,15,480,150,43,True,45.04707717895508,22.198998528303544,150,7,0,5033,50.47829031944275,,post_route_report_json,selection
r15_c10_k352,broadcast,15,10,352,150,43,True,47.2835578918457,21.14900072214014,150,7,0,5037,46.31530427932739,,post_route_report_json,selection
r15_c10_k480,broadcast,15,10,480,150,43,True,43.7521858215332,22.856000933965614,150,7,0,5037,41.284491539001465,,post_route_report_json,selection
