seed,workload,selected_arch,selected_topology,guided_actual_ms,broadcast_baseline_ms,broadcast_baseline_arch,oracle_ms,oracle_arch,oracle_topology,improvement_pct,oracle_regret_pct
38,s64_qkv,r13_c10_k320,local,5.66166881451622,6.417535887336754,r13_c10_k448,5.183437758155826,r13_c10_k448,local,13.350605582624864,9.226136758523374
38,s64_attn_out,r13_c10_k320,local,1.9273766177076497,2.1846930680295333,r13_c10_k448,1.7645745559679407,r13_c10_k448,local,13.350605582624864,9.226136758523396
38,s64_ffn_expand,r13_c10_k320,local,7.227662316403686,8.19259900511075,r13_c10_k448,6.617154584879778,r13_c10_k448,local,13.350605582624864,9.226136758523374
38,s64_ffn_contract,r13_c10_k320,local,7.407521194323409,8.37407788079365,r13_c10_k448,6.714057104658355,r13_c10_k448,local,13.048314829135288,10.328540238120908
38,s128_qkv,r13_c10_k320,local,11.32333762903244,12.835071774673509,r13_c10_k448,10.366875516311651,r13_c10_k448,local,13.350605582624864,9.226136758523374
38,s128_attn_out,r13_c10_k320,local,3.8547532354152994,4.369386136059067,r13_c10_k448,3.5291491119358813,r13_c10_k448,local,13.350605582624864,9.226136758523396
38,s128_ffn_expand,r13_c10_k320,local,14.455324632807372,16.3851980102215,r13_c10_k448,13.234309169759555,r13_c10_k448,local,13.350605582624864,9.226136758523374
38,s128_ffn_contract,r10_c13_k448,local,13.74776586738406,16.7481557615873,r13_c10_k448,13.42811420931671,r13_c10_k448,local,21.824563519237138,2.380465738409998
38,s256_qkv,r13_c10_k320,local,22.64667525806488,25.670143549347017,r13_c10_k448,20.733751032623303,r13_c10_k448,local,13.350605582624864,9.226136758523374
38,s256_attn_out,r13_c10_k320,local,7.709506470830599,8.738772272118133,r13_c10_k448,7.058298223871763,r13_c10_k448,local,13.350605582624864,9.226136758523396
38,s256_ffn_expand,r13_c10_k320,local,28.910649265614744,32.770396020443,r13_c10_k448,26.46861833951911,r13_c10_k448,local,13.350605582624864,9.226136758523374
38,s256_ffn_contract,r10_c13_k448,local,27.49553173476812,33.4963115231746,r13_c10_k448,26.85622841863342,r13_c10_k448,local,21.824563519237138,2.380465738409998
39,s64_qkv,r13_c10_k320,local,5.23453471766749,6.791507807274076,r13_c10_k448,5.23453471766749,r13_c10_k320,local,29.744249939761104,0.0
39,s64_attn_out,r13_c10_k320,local,1.7819692655889325,2.3120026577954302,r13_c10_k448,1.7819692655889325,r13_c10_k320,local,29.744249939761126,0.0
39,s64_ffn_expand,r13_c10_k320,local,6.6823847459584975,8.670009966732863,r13_c10_k448,6.6823847459584975,r13_c10_k320,local,29.744249939761104,0.0
39,s64_ffn_contract,r13_c10_k320,local,6.848674504613686,8.862064241565632,r13_c10_k448,6.848674504613686,r13_c10_k320,local,29.398239551253358,0.0
39,s128_qkv,r13_c10_k320,local,10.46906943533498,13.25969195282532,r10_c13_k448,10.384304201366875,r10_c13_k320,local,26.65587934751383,0.81628226912831
39,s128_attn_out,r13_c10_k320,local,3.563938531177865,4.41989731760844,r10_c13_k448,3.4614347337889586,r10_c13_k320,local,24.017215194440645,2.9613095514501753
39,s128_ffn_expand,r13_c10_k320,local,13.364769491916995,17.127102105732703,r10_c13_k448,13.364769491916995,r13_c10_k320,local,28.151122367588634,0.0
39,s128_ffn_contract,r10_c13_k448,local,15.129575572721576,16.94176857353569,r10_c13_k448,13.30339432248844,r10_c13_k320,local,11.977817831727378,13.727182747233968
39,s256_qkv,r13_c10_k320,local,20.93813887066996,26.51938390565064,r10_c13_k448,20.76860840273375,r10_c13_k320,local,26.65587934751383,0.81628226912831
39,s256_attn_out,r13_c10_k320,local,7.12787706235573,8.83979463521688,r10_c13_k448,6.922869467577917,r10_c13_k320,local,24.017215194440645,2.9613095514501753
39,s256_ffn_expand,r13_c10_k320,local,26.72953898383399,34.25420421146541,r10_c13_k448,26.72953898383399,r13_c10_k320,local,28.151122367588634,0.0
39,s256_ffn_contract,r10_c13_k448,local,30.259151145443152,33.88353714707138,r10_c13_k448,26.60678864497688,r10_c13_k320,local,11.977817831727378,13.727182747233968
40,s64_qkv,r13_c10_k320,local,4.964975104619034,6.347471951506781,r13_c10_k448,4.964975104619034,r13_c10_k320,local,27.844990513680056,0.0
40,s64_attn_out,r13_c10_k320,local,1.6902042909341395,2.1608415154065637,r13_c10_k448,1.6902042909341395,r13_c10_k320,local,27.844990513680035,0.0
40,s64_ffn_expand,r13_c10_k320,local,6.338266091003023,8.103155682774613,r13_c10_k448,6.338266091003023,r13_c10_k320,local,27.844990513680035,0.0
40,s64_ffn_contract,r13_c10_k320,local,6.495992528290656,8.282653249038512,r13_c10_k448,6.495992528290656,r13_c10_k320,local,27.504045193506332,0.0
40,s128_qkv,r13_c10_k320,local,9.929950209238068,12.234100251862692,r10_c13_k320,9.859665968364757,r10_c13_k448,local,23.20404427084657,0.7128460649561852
40,s128_attn_out,r13_c10_k320,local,3.380408581868279,4.078033417287564,r10_c13_k320,3.2865553227882525,r10_c13_k448,local,20.637293348537256,2.85567257697652
40,s128_ffn_expand,r13_c10_k320,local,12.676532182006046,15.802379491989312,r10_c13_k320,12.676532182006046,r13_c10_k320,local,24.65853646015519,0.0
40,s128_ffn_contract,r10_c13_k448,local,12.505065337245009,15.650830952833354,r10_c13_k320,12.505065337245009,r10_c13_k448,local,25.155931062743164,0.0
40,s256_qkv,r13_c10_k320,local,19.859900418476137,24.468200503725384,r10_c13_k320,19.719331936729514,r10_c13_k448,local,23.20404427084657,0.7128460649561852
40,s256_attn_out,r13_c10_k320,local,6.760817163736558,8.156066834575128,r10_c13_k320,6.573110645576505,r10_c13_k448,local,20.637293348537256,2.85567257697652
40,s256_ffn_expand,r13_c10_k320,local,25.35306436401209,31.604758983978623,r10_c13_k320,25.35306436401209,r13_c10_k320,local,24.65853646015519,0.0
40,s256_ffn_contract,r10_c13_k448,local,25.010130674490018,31.30166190566671,r10_c13_k320,25.010130674490018,r10_c13_k448,local,25.155931062743164,0.0
