seed,workload,broadcast_baseline_ms,broadcast_baseline_arch,guided_actual_ms,guided_arch,guided_topology,oracle_ms,oracle_arch,oracle_topology,improvement_pct,oracle_regret_pct
32,s64_qkv,5.977744276058985,r11_c13_k384,4.7381520168702576,r11_c13_k384,local,4.7381520168702576,r11_c13_k384,local,26.161935175890115,0.0
32,s64_attn_out,1.992581425352995,r11_c13_k384,1.579384005623419,r11_c13_k384,local,1.579384005623419,r11_c13_k384,local,26.16193517589014,0.0
32,s64_ffn_expand,7.721253023242856,r11_c13_k384,6.120113021790749,r11_c13_k384,local,6.120113021790749,r11_c13_k384,local,26.16193517589014,0.0
32,s64_ffn_contract,7.647204389192575,r11_c13_k384,6.070454475601669,r11_c13_k384,local,6.070454475601669,r11_c13_k384,local,25.974165854108122,0.0
32,s128_qkv,11.95548855211797,r11_c13_k384,9.476304033740515,r11_c13_k384,local,9.476304033740515,r11_c13_k384,local,26.161935175890115,0.0
32,s128_attn_out,3.98516285070599,r11_c13_k384,3.158768011246838,r11_c13_k384,local,3.158768011246838,r11_c13_k384,local,26.16193517589014,0.0
32,s128_ffn_expand,15.442506046485711,r11_c13_k384,12.240226043581497,r11_c13_k384,local,12.240226043581497,r11_c13_k384,local,26.16193517589014,0.0
32,s128_ffn_contract,15.29440877838515,r11_c13_k384,12.140908951203338,r11_c13_k384,local,12.140908951203338,r11_c13_k384,local,25.974165854108122,0.0
32,s256_qkv,23.91097710423594,r11_c13_k384,18.95260806748103,r11_c13_k384,local,18.95260806748103,r11_c13_k384,local,26.161935175890115,0.0
32,s256_attn_out,7.97032570141198,r11_c13_k384,6.317536022493676,r11_c13_k384,local,6.317536022493676,r11_c13_k384,local,26.16193517589014,0.0
32,s256_ffn_expand,30.885012092971422,r11_c13_k384,24.480452087162995,r11_c13_k384,local,24.480452087162995,r11_c13_k384,local,26.16193517589014,0.0
32,s256_ffn_contract,30.5888175567703,r11_c13_k384,24.281817902406676,r11_c13_k384,local,24.281817902406676,r11_c13_k384,local,25.974165854108122,0.0
33,s64_qkv,5.653508102574473,r11_c13_k192,5.289116065209782,r11_c13_k192,local,4.664348478220111,r13_c11_k192,local,6.889469485488364,13.394530659683458
33,s64_attn_out,1.8845027008581576,r11_c13_k192,1.7630386884032607,r11_c13_k192,local,1.572861696143991,r13_c11_k192,local,6.889469485488364,12.091145249802038
33,s64_ffn_expand,7.302447965825361,r11_c13_k192,6.831774917562636,r11_c13_k192,local,5.9660271233047935,r13_c11_k192,local,6.889469485488364,14.511294976786404
