name,topology,rows,cols,k_tile,pe_count,seed,route_ok,routed_fmax_mhz,routed_period_ns,synth_dsp,synth_bram,synth_lut4,synth_ff,elapsed_sec,error_stage,timing_metric,phase
r13_c10_k320,local,13,10,320,130,39,True,58.452186584472656,17.1079998616449,130,6,0,7451,73.01695561408997,,post_route_report_json,deployment
r13_c10_k448,local,13,10,448,130,39,True,53.293540954589844,18.76399995361682,130,6,0,7451,60.239460468292236,,post_route_report_json,deployment
r08_c11_k320,local,8,11,320,88,40,True,57.633567810058594,17.350999391460082,88,5,0,5083,33.59356379508972,,post_route_report_json,deployment
r08_c11_k448,local,8,11,448,88,40,True,54.908851623535156,18.21199989495642,88,5,0,5083,32.1912944316864,,post_route_report_json,deployment
r11_c08_k320,local,11,8,320,88,40,True,58.50347900390625,17.093000570670856,88,5,0,5091,29.887036561965942,,post_route_report_json,deployment
r11_c08_k448,local,11,8,448,88,40,True,56.670066833496094,17.64600001157803,88,5,0,5091,29.859721422195435,,post_route_report_json,deployment
r10_c13_k320,local,10,13,320,130,40,True,57.46796417236328,17.400999224554166,130,6,0,7445,56.79167890548706,,post_route_report_json,deployment
r10_c13_k448,local,10,13,448,130,40,True,61.80087661743164,16.181000250050477,130,6,0,7445,52.40745997428894,,post_route_report_json,deployment
r13_c10_k320,local,13,10,320,130,40,True,61.62568664550781,16.22699972094988,130,6,0,7451,71.13182997703552,,post_route_report_json,deployment
r13_c10_k448,local,13,10,448,130,40,True,57.43495559692383,17.410999792843214,130,6,0,7451,50.14555215835571,,post_route_report_json,deployment
r08_c11_k320,broadcast,8,11,320,88,35,True,45.80222702026367,21.832999508027925,88,5,0,3008,31.490983724594116,,post_route_report_json,selection
r08_c11_k448,broadcast,8,11,448,88,35,True,48.85675048828125,20.46800063462795,88,5,0,3008,30.01410675048828,,post_route_report_json,selection
r11_c08_k320,broadcast,11,8,320,88,35,True,44.84103775024414,22.3010003820564,88,5,0,3012,30.013940811157227,,post_route_report_json,selection
r11_c08_k448,broadcast,11,8,448,88,35,True,47.96623229980469,20.847999770957035,88,5,0,3012,30.3437397480011,,post_route_report_json,selection
