name,rows,cols,k_tile,observed_tax_ns,predicted_tax_ns,local_ff_overhead_pct,local_bram_overhead_pct
r08_c11_k320,8,11,320,3.9949999116603863,2.321024779954321,68.98271276595744,0.0
r08_c11_k448,8,11,448,2.446001061409163,2.321024779954321,68.98271276595744,0.0
r11_c08_k320,11,8,320,2.508999860548549,2.321024779954321,69.02390438247012,0.0
r11_c08_k448,11,8,448,3.710001479913956,2.321024779954321,69.02390438247012,0.0
r10_c13_k320,10,13,320,5.885000075473016,2.929150113436206,70.01598538479105,0.0
r10_c13_k448,10,13,448,4.732999642390009,2.929150113436206,70.01598538479105,0.0
r13_c10_k320,13,10,320,5.922000530177161,2.929150113436206,70.03651300775901,0.0
r13_c10_k448,13,10,448,4.2969996907570795,2.929150113436206,70.03651300775901,0.0
