name,rows,cols,k_tile,pe_count,broadcast_period_ns,local_period_ns,observed_tax_ns,predicted_tax_ns,abs_error_ns,local_fmax_gain_pct,local_ff_overhead_pct,local_bram_overhead_pct
r09_c09_k192,9,9,192,81,20.735000001977443,17.83400006286093,2.900999939116513,2.2064269819813225,0.6945729571351906,16.266681220652266,67.54322766570607,0.0
r09_c09_k384,9,9,384,81,20.141000216588896,17.301999771501453,2.839000445087443,2.2064269819813225,0.6325734631061204,16.4085104761337,67.53059755219581,0.0
r09_c13_k192,9,13,192,117,21.267000299440376,17.889000493451547,3.3779998059888285,2.753084801630254,0.6249150043585745,18.883110921850445,70.43500252908447,0.0
r09_c13_k384,9,13,384,117,22.672001750493298,19.280000706054714,3.392001044438583,2.753084801630254,0.638916242808329,17.59336576877488,70.4246713852376,0.0
r13_c09_k192,13,9,192,117,22.21899950594121,18.564999949717905,3.6539995562233045,2.753084801630254,0.9009147545930505,19.682195346727305,70.45741723527925,0.0
r13_c09_k384,13,9,384,117,22.523001653242485,18.208999223277935,4.31400242996455,2.753084801630254,1.5609176283342956,23.691595441717837,70.4470825966153,0.0
r11_c13_k192,11,13,192,143,22.42399959214161,18.058000331891805,4.365999260249804,3.096611090964073,1.2693881692857314,24.177645254215197,69.86044574047074,0.0
r11_c13_k384,11,13,384,143,21.74899976371326,16.900999460883494,4.848000302829767,3.096611090964073,1.7513892118656944,28.684695920204106,69.85217572350615,0.0
r13_c11_k192,13,11,192,143,21.927000446496308,17.50799933185568,4.419001114640629,3.096611090964073,1.3223900236765562,25.239897665521905,69.87299604413909,0.0
r13_c11_k384,13,11,384,143,22.664000469630626,18.026999927037632,4.637000542592993,3.096611090964073,1.5403894516289203,25.722530434130796,69.86472424557752,0.0
