name,rows,cols,k_tile,pe_count,broadcast_period_ns,local_period_ns,observed_tax_ns,predicted_tax_ns,abs_error_ns,local_fmax_gain_pct
r04_c04_k16,4,4,16,16,17.586000967906273,16.07699964367917,1.5090013242271034,0.7018535412211697,0.8071477830059337,9.386087937250043
r04_c08_k32,4,8,32,32,18.492000183971925,16.878000074428435,1.6140001095434897,1.200425321020536,0.4135747885229537,9.562745007856899
r08_c04_k32,8,4,32,32,18.41699964155757,16.71800057447719,1.6989990670803792,1.200425321020536,0.49857374605984317,10.162692957877884
r08_c08_k16,8,8,16,64,20.254000169669283,17.20700118787804,3.046998981791244,1.9055122938292917,1.1414866879619525,17.707902431818212
r08_c08_k64,8,8,64,64,19.90299960215867,17.370000477743925,2.5329991244147436,1.9055122938292917,0.627486830585452,14.58260825991491
r08_c12_k32,8,12,32,96,20.62599985081903,17.52199908427663,3.104000766542402,2.4465445569378375,0.6574562096045646,17.714878031969427
r12_c08_k32,12,8,32,96,21.327999597756843,17.003000613458173,4.32499898429867,2.4465445569378375,1.8784544273608326,25.43668075195713
r10_c12_k64,10,12,64,120,21.14800091354356,17.662999901626662,3.4850010119168964,2.794550040323041,0.6904509715938554,19.730515944779835
r12_c10_k64,12,10,64,120,21.216998980848498,17.413000592048927,3.8039983887995703,2.794550040323041,1.0094483484765293,21.84573743445768
