name,k,predicted_choice,actual_choice,choice_correct,regret_pct,broadcast_latency_ms,local_latency_ms
r12_c08_k32,256,broadcast,broadcast,True,0.0,0.011474463783593182,0.011732070423286141
r12_c08_k32,512,broadcast,broadcast,True,0.0,0.02290627156799085,0.023430134845345365
r12_c08_k32,1024,broadcast,broadcast,True,0.0,0.04576988713678619,0.04682626368946381
r12_c08_k32,3072,broadcast,broadcast,True,0.0,0.13722434941196754,0.1404107790659376
r10_c12_k64,8,broadcast,broadcast,True,0.0,0.0004441080191844147,0.0007418459958683199
r10_c12_k64,16,broadcast,broadcast,True,0.0,0.0007824760338011116,0.0010244539942943465
r10_c12_k64,32,broadcast,broadcast,True,0.0,0.0014592120630345054,0.0015896699911463997
r10_c12_k64,64,broadcast,local,False,3.403627406855314,0.002812684121501293,0.002720101984850506
r10_c12_k64,128,broadcast,local,False,3.296915717064941,0.005583072241175499,0.005404877969897759
r10_c12_k64,256,broadcast,local,False,3.2430350605806346,0.011123848480523911,0.010774429939992265
r10_c12_k64,512,broadcast,local,False,3.2159620213619178,0.022205400959220734,0.021513533880181276
r10_c12_k64,1024,broadcast,local,False,3.202392133175036,0.044368505916614384,0.0429917417605593
r10_c12_k64,3072,broadcast,local,False,3.1933331450623603,0.13302092574618898,0.1289045732820714
r12_c10_k64,8,broadcast,broadcast,True,0.0,0.00044555697859781845,0.000731346024866055
r12_c10_k64,16,broadcast,broadcast,True,0.0,0.0007850289622913945,0.001009954034338838
r12_c10_k64,32,broadcast,broadcast,True,0.0,0.0014639729296785464,0.0015671700532844035
r12_c10_k64,64,broadcast,local,False,5.230409602486175,0.0028218608644528503,0.002681602091175535
r12_c10_k64,128,broadcast,local,False,5.121812688551741,0.005601287730944004,0.005328378181166972
r12_c10_k64,256,broadcast,local,False,5.066980148401212,0.01116014146392631,0.010621930361149846
r12_c10_k64,512,broadcast,local,False,5.039428822808345,0.022277848929890924,0.021209034721115596
r12_c10_k64,1024,broadcast,local,False,5.025619201927789,0.04451326386182015,0.04238324344104709
r12_c10_k64,3072,broadcast,local,False,5.016400173025315,0.13345492358953706,0.1270800783207731
