name,topology,rows,cols,k_tile,pe_count,seed,route_ok,routed_fmax_mhz,routed_period_ns,synth_dsp,synth_bram,synth_lut4,synth_ff,elapsed_sec,error_stage,timing_metric
r11_c13_k192,local,11,13,192,143,33,True,55.37711715698242,18.058000331891805,143,6,0,8155,75.28919100761414,,post_route_report_json
r11_c13_k384,local,11,13,384,143,33,True,59.16809844970703,16.900999460883494,143,6,0,8158,91.6387689113617,,post_route_report_json
r13_c11_k192,local,13,11,192,143,33,True,62.50390625,15.999000062496094,143,6,0,8159,80.5559606552124,,post_route_report_json
r13_c11_k384,local,13,11,384,143,33,True,59.92688751220703,16.687000468634405,143,6,0,8162,81.20419907569885,,post_route_report_json
r09_c09_k192,local,9,9,192,81,34,True,54.914886474609375,18.20999849398511,81,4,0,4651,24.816645622253418,,post_route_report_json
r09_c09_k384,local,9,9,384,81,34,True,56.670066833496094,17.64600001157803,81,4,0,4654,24.95599341392517,,post_route_report_json
r09_c13_k192,local,9,13,192,117,34,True,50.64830017089844,19.743999238390654,117,5,0,6739,40.974358797073364,,post_route_report_json
r09_c13_k384,local,9,13,384,117,34,True,50.61241149902344,19.757999478434158,117,5,0,6742,47.84957575798035,,post_route_report_json
r13_c09_k192,local,13,9,192,117,34,True,52.32862091064453,19.110001039537867,117,5,0,6745,48.63702440261841,,post_route_report_json
r13_c09_k384,local,13,9,384,117,34,True,52.2138671875,19.152000299250005,117,5,0,6748,50.48699641227722,,post_route_report_json
r11_c13_k192,local,11,13,192,143,34,True,54.27113723754883,18.42600046545782,143,6,0,8155,68.80650424957275,,post_route_report_json
r11_c13_k384,local,11,13,384,143,34,True,55.15111541748047,18.13199955123744,143,6,0,8158,73.25397038459778,,post_route_report_json
r13_c11_k192,local,13,11,192,143,34,True,57.11674880981445,17.50799933185568,143,6,0,8159,100.50389003753662,,post_route_report_json
r13_c11_k384,local,13,11,384,143,34,True,54.18879318237305,18.454000195842852,143,6,0,8162,62.92269945144653,,post_route_report_json
