name,rows,cols,k_tile,pe_count,broadcast_period_ns,local_period_ns,observed_tax_ns,predicted_tax_ns,abs_error_ns,local_fmax_gain_pct,local_ff_overhead_pct,local_bram_overhead_pct
r08_c08_k128,8,8,128,64,19.840000339062506,16.78599950924721,3.0540008298152976,1.9055122938292917,1.148488535986006,18.193738348037524,66.48624267027515,0.0
r08_c08_k256,8,8,256,64,20.009999503841414,17.11700023108316,2.892999272758253,1.9055122938292917,0.9874869789289613,16.901321690145153,66.47138350608381,0.0
r10_c12_k128,10,12,128,120,21.886998883541303,16.45500024072619,5.431998642815113,2.794550040323041,2.6374486024920722,33.01123405255806,69.37515435910102,0.0
r10_c12_k256,10,12,256,120,21.555999723379582,16.92999990377159,4.625999819607991,2.794550040323041,1.8314497792849496,27.3242755221601,69.36558874352012,0.0
r12_c10_k128,12,10,128,120,21.3190009548431,17.517000700094666,3.8020002547484353,2.794550040323041,1.0074502144253943,21.704630375038402,69.38271604938271,0.0
r12_c10_k256,12,10,256,120,22.065001455321788,16.81599988402051,5.249001571301278,2.794550040323041,2.454451530978237,31.214329254897134,69.37314906219152,0.0
r10_c14_k256,10,14,256,140,21.399000121793016,17.46899956284852,3.9300005589444957,3.058665394640954,0.8713351643035416,22.496998438894344,70.76955782312926,0.0
r14_c10_k256,14,10,256,140,21.53000134529656,16.846999777253338,4.683001568043224,3.058665394640954,1.6243361734022699,27.797243603969,70.78818780539622,0.0
