split,device,topology,rows,cols,pe_count,sqrt_pe,seed,route_ok,synth_dsp,routed_fmax_mhz,routed_period_ns,elapsed_sec,error_stage
discovery,25k,broadcast,3,3,9,3.0,17,True,9,103.90690612792969,9.62399937852836,2.541171073913574,
discovery,25k,broadcast,5,5,25,5.0,17,True,25,95.02090454101562,10.52400000642334,8.767594337463379,
discovery,25k,broadcast,3,3,9,3.0,18,True,9,103.86373138427734,9.627999944467408,1.9438505172729492,
discovery,25k,broadcast,5,5,25,5.0,18,True,25,91.75153350830078,10.899000395557746,7.131643533706665,
discovery,25k,broadcast,3,3,9,3.0,19,True,9,101.35820007324219,9.865999981031555,2.4607787132263184,
discovery,25k,broadcast,5,5,25,5.0,19,True,25,91.92865753173828,10.878000689336195,9.262667179107666,
discovery,25k,local,3,3,9,3.0,17,True,9,106.96331024169922,9.349000117333262,2.474700689315796,
discovery,25k,local,5,5,25,5.0,17,True,25,97.98157501220703,10.206000463611806,12.539305686950684,
discovery,25k,local,3,3,9,3.0,18,True,9,107.49220275878906,9.303000351048581,2.849881410598755,
discovery,25k,local,5,5,25,5.0,18,True,25,101.08157348632812,9.892999935693085,7.138874530792236,
discovery,25k,local,3,3,9,3.0,19,True,9,106.6439208984375,9.376999566176412,1.962888479232788,
discovery,25k,local,5,5,25,5.0,19,True,25,102.76435852050781,9.731000265042656,5.740142583847046,
discovery,45k,broadcast,3,3,9,3.0,17,True,9,103.88530731201172,9.62600030624711,1.9822046756744385,
discovery,45k,broadcast,5,5,25,5.0,17,True,25,94.00263977050781,10.637999128974863,4.617878675460815,
discovery,45k,broadcast,7,7,49,7.0,17,True,49,80.26970672607422,12.457999920350616,8.476325035095215,
discovery,45k,broadcast,3,3,9,3.0,18,True,9,103.40193176269531,9.670999206233143,2.5452065467834473,
discovery,45k,broadcast,5,5,25,5.0,18,True,25,93.04922485351562,10.746999790425633,11.479273080825806,
discovery,45k,broadcast,7,7,49,7.0,18,True,49,85.68246459960938,11.670999482484062,11.599799156188965,
discovery,45k,broadcast,3,3,9,3.0,19,True,9,104.64630126953125,9.555999475073271,2.2854225635528564,
discovery,45k,broadcast,5,5,25,5.0,19,True,25,91.99632263183594,10.869999706422432,6.654304027557373,
discovery,45k,broadcast,7,7,49,7.0,19,True,49,85.38251495361328,11.711999822718752,17.161888360977173,
discovery,45k,local,3,3,9,3.0,17,True,9,107.00909423828125,9.345000134037782,2.1166412830352783,
discovery,45k,local,5,5,25,5.0,17,True,25,98.99029541015625,10.102000361314222,4.523997068405151,
discovery,45k,local,7,7,49,7.0,17,True,49,100.02000427246094,9.997999972844788,10.814635753631592,
discovery,45k,local,3,3,9,3.0,18,True,9,106.71219635009766,9.371000074998314,1.7204546928405762,
discovery,45k,local,5,5,25,5.0,18,True,25,102.70103454589844,9.737000259263084,3.3192954063415527,
discovery,45k,local,7,7,49,7.0,18,True,49,102.81719207763672,9.725999901309358,7.334667205810547,
discovery,45k,local,3,3,9,3.0,19,True,9,106.41693878173828,9.397000246840452,1.5060949325561523,
discovery,45k,local,5,5,25,5.0,19,True,25,103.24179077148438,9.686000141293581,4.044867277145386,
discovery,45k,local,7,7,49,7.0,19,True,49,102.69049072265625,9.738000013075927,7.40227746963501,
discovery,85k,broadcast,3,3,9,3.0,17,True,9,100.81661987304688,9.918999479046688,2.587938070297241,
discovery,85k,broadcast,5,5,25,5.0,17,True,25,91.74312591552734,10.899999209976254,8.10688853263855,
discovery,85k,broadcast,7,7,49,7.0,17,True,49,81.81967163085938,12.221999674010384,9.628944873809814,
discovery,85k,broadcast,9,9,81,9.0,17,True,81,81.42658996582031,12.281000597222121,21.042683362960815,
discovery,85k,broadcast,11,11,121,11.0,17,True,121,74.52120208740234,13.418999854929178,43.73208475112915,
discovery,85k,broadcast,3,3,9,3.0,18,True,9,101.32738494873047,9.869000374439535,2.717355728149414,
discovery,85k,broadcast,5,5,25,5.0,18,True,25,92.37875366210938,10.824999909152986,6.337428569793701,
discovery,85k,broadcast,7,7,49,7.0,18,True,49,87.80402374267578,11.388999699269654,13.133083820343018,
discovery,85k,broadcast,9,9,81,9.0,18,True,81,81.57272338867188,12.258999803589633,21.342616081237793,
discovery,85k,broadcast,11,11,121,11.0,18,True,121,74.27213287353516,13.46400004026709,35.94645929336548,
discovery,85k,broadcast,3,3,9,3.0,19,True,9,104.48229217529297,9.570999823800486,1.697601556777954,
discovery,85k,broadcast,5,5,25,5.0,19,True,25,92.80742645263672,10.774999784207349,4.209881782531738,
discovery,85k,broadcast,7,7,49,7.0,19,True,49,87.36676788330078,11.44599971164939,8.210731267929077,
