name,k,predicted_choice,actual_choice,choice_correct,regret_pct,broadcast_latency_ms,local_latency_ms
r08_c08_k128,8,broadcast,broadcast,True,0.0,0.0004166400071203126,0.0006042959823328994
r08_c08_k128,16,broadcast,broadcast,True,0.0,0.0007340800125453127,0.0008728719744808547
r08_c08_k128,32,broadcast,broadcast,True,0.0,0.0013689600233953128,0.0014100239587767653
r08_c08_k128,64,broadcast,local,False,6.214643245195872,0.002638720045095313,0.0024843279273685866
r08_c08_k128,128,local,local,True,0.0,0.005178240088495314,0.004632935864552229
r08_c08_k128,256,local,local,True,0.0,0.010316800176312504,0.009232299730085963
r08_c08_k128,512,local,local,True,0.0,0.02059392035194688,0.018431027461153434
r08_c08_k128,1024,local,local,True,0.0,0.041148160703215635,0.03682848292328837
r08_c08_k128,3072,local,local,True,0.0,0.12336512210829066,0.11041830477182812
r08_c08_k256,8,broadcast,broadcast,True,0.0,0.0004202099895806697,0.0006162120083189937
r08_c08_k256,16,broadcast,broadcast,True,0.0,0.0007403699816421322,0.0008900840120163243
r08_c08_k256,32,broadcast,broadcast,True,0.0,0.0013806899657650574,0.0014378280194109853
r08_c08_k256,64,broadcast,local,False,5.053214762089886,0.0026613299340109077,0.002533316034200308
r08_c08_k256,128,local,local,True,0.0,0.005222609870502609,0.004724292063778952
r08_c08_k256,256,local,local,True,0.0,0.01034516974348601,0.00910624412293624
r08_c08_k256,512,local,local,True,0.0,0.020650319487964336,0.018178254245410315
r08_c08_k256,1024,local,local,True,0.0,0.041260618976920994,0.036322274490358464
r08_c08_k256,3072,local,local,True,0.0,0.12370181693274761,0.10889835547015106
r10_c12_k128,8,broadcast,broadcast,True,0.0,0.00045962697655436735,0.0006911100101104999
r10_c12_k128,16,broadcast,broadcast,True,0.0,0.0008098189586910282,0.000954390013962119
r10_c12_k128,32,broadcast,local,False,1.9752794402945195,0.00151020292296435,0.001480950021665357
r10_c12_k128,64,broadcast,local,False,14.873338499936505,0.002910970851510993,0.002534070037071833
r10_c12_k128,128,local,local,True,0.0,0.005712506708604279,0.004640310067884785
r10_c12_k128,256,local,local,True,0.0,0.011381239419441476,0.009247710135288119
r10_c12_k128,512,local,local,True,0.0,0.02271870484111587,0.018462510270094785
r10_c12_k128,1024,local,local,True,0.0,0.04539363568446466,0.03689211053970812
r10_c12_k128,3072,local,local,True,0.0,0.13609335905785983,0.11061051161816143
r10_c12_k256,8,broadcast,broadcast,True,0.0,0.0004526759941909712,0.0007110599959584069
r10_c12_k256,16,broadcast,broadcast,True,0.0,0.0007975719897650445,0.0009819399944187522
r10_c12_k256,32,broadcast,broadcast,True,0.0,0.0014873639809131912,0.0015236999913394434
r10_c12_k256,64,broadcast,local,False,9.961874314592812,0.0028669479632094843,0.002607219985180825
r10_c12_k256,128,local,local,True,0.0,0.0056261159278020705,0.004774259972863589
r10_c12_k256,256,local,local,True,0.0,0.011144451856987243,0.009108339948229117
r10_c12_k256,512,local,local,True,0.0,0.022245791714527726,0.01818281989665069
r10_c12_k256,1024,local,local,True,0.0,0.0444484714296087,0.036331779793493835
r10_c12_k256,3072,local,local,True,0.0,0.13325919028993258,0.10892761938086643
r12_c10_k128,8,broadcast,broadcast,True,0.0,0.00044769902005170517,0.000735714029403976
r12_c10_k128,16,broadcast,broadcast,True,0.0,0.0007888030353291948,0.0010159860406054907
r12_c10_k128,32,broadcast,broadcast,True,0.0,0.0014710110658841741,0.00157653006300852
r12_c10_k128,64,broadcast,local,False,5.108544414805882,0.0028354271269941324,0.0026976181078145786
r12_c10_k128,128,local,local,True,0.0,0.00556425924921405,0.004939794197426696
r12_c10_k128,256,local,local,True,0.0,0.011085880496518413,0.009844554393453202
r12_c10_k128,512,local,local,True,0.0,0.02212912299112714,0.019654074785506216
r12_c10_k128,1024,local,local,True,0.0,0.044215607980344594,0.039273115569612244
r12_c10_k128,3072,local,local,True,0.0,0.13256154793721442,0.11774927870603635
r12_c10_k256,8,broadcast,broadcast,True,0.0,0.0004633650305617576,0.0007062719951288613
r12_c10_k256,16,broadcast,broadcast,True,0.0,0.0008164050538469062,0.0009753279932731895
r12_c10_k256,32,broadcast,local,False,0.5976524287544693,0.0015224851004172035,0.0015134399895618458
r12_c10_k256,64,broadcast,local,False,13.321466174683882,0.002934645193557798,0.0025896639821391585
r12_c10_k256,128,local,local,True,0.0,0.005758965379838987,0.0047421119672937835
r12_c10_k256,256,local,local,True,0.0,0.011407605752401365,0.009047007937603034
r12_c10_k256,512,local,local,True,0.0,0.022771081501892085,0.018060383875438027
r12_c10_k256,1024,local,local,True,0.0,0.04549803300087353,0.03608713575110801
r12_c10_k256,3072,local,local,True,0.0,0.1364058389967993,0.10819414325378796
r10_c14_k256,8,broadcast,broadcast,True,0.0,0.00044937900255765333,0.000768635980765335
r10_c14_k256,16,broadcast,broadcast,True,0.0,0.0007917630045063416,0.0010481399737709114
r10_c14_k256,32,broadcast,broadcast,True,0.0,0.0014765310084037182,0.001607147959782064
r10_c14_k256,64,broadcast,local,False,4.436543540852234,0.002846067016198471,0.0027251639318043694
r10_c14_k256,128,local,local,True,0.0,0.005585139031787977,0.00496119587584898
r10_c14_k256,256,local,local,True,0.0,0.01106328306296699,0.009433259763938202
r10_c14_k256,512,local,local,True,0.0,0.022083768125690392,0.018831581528750706
r10_c14_k256,1024,local,local,True,0.0,0.0441247382511372,0.037628225058375715
r10_c14_k256,3072,local,local,True,0.0,0.13228861875292441,0.11281479917687576
r14_c10_k256,8,broadcast,broadcast,True,0.0,0.0004521300282512278,0.0007412679901991468
r14_c10_k256,16,broadcast,broadcast,True,0.0,0.0007966100497759728,0.0010108199866352002
r14_c10_k256,32,broadcast,broadcast,True,0.0,0.0014855700928254629,0.001549923979507307
r14_c10_k256,64,broadcast,local,False,8.955342303383818,0.0028634901789244428,0.0026281319652515208
r14_c10_k256,128,local,local,True,0.0,0.0056193303511224025,0.004784547936739948
r14_c10_k256,256,local,local,True,0.0,0.011131010695518322,0.009097379879716802
r14_c10_k256,512,local,local,True,0.0,0.022218961388346052,0.018161065759879098
r14_c10_k256,1024,local,local,True,0.0,0.04439486277400151,0.036288437520203685
r14_c10_k256,3072,local,local,True,0.0,0.13309846831662334,0.10879792456150204
