workload,broadcast_baseline_ms,broadcast_baseline_arch,guided_actual_ms,guided_arch,guided_topology,oracle_ms,oracle_arch,oracle_topology,improvement_pct,oracle_regret_pct
s64_qkv,7.4015042477274555,r10_c12_k64,7.4015042477274555,r10_c12_k64,broadcast,7.194422467930966,r10_c12_k64,local,0.0,2.8783655772169903
s64_attn_out,2.4671680825758187,r10_c12_k64,2.4671680825758187,r10_c12_k64,broadcast,2.3981408226436556,r10_c12_k64,local,0.0,2.8783655772169903
s64_ffn_expand,9.489108009906994,r10_c12_k64,9.489108009906994,r10_c12_k64,broadcast,9.223618548629444,r10_c12_k64,local,0.0,2.878365577216968
s64_ffn_contract,9.464534032845457,r10_c12_k64,9.464534032845457,r10_c12_k64,broadcast,9.187515376830518,r10_c12_k64,local,0.0,3.0151639986751633
s128_qkv,13.74565074577956,r10_c12_k64,13.74565074577956,r10_c12_k64,broadcast,13.36107029758608,r10_c12_k64,local,0.0,2.8783655772169903
s128_attn_out,4.58188358192652,r10_c12_k64,4.58188358192652,r10_c12_k64,broadcast,4.45369009919536,r10_c12_k64,local,0.0,2.878365577216968
s128_ffn_expand,17.622629161255848,r10_c12_k64,17.622629161255848,r10_c12_k64,broadcast,17.12957730459754,r10_c12_k64,local,0.0,2.8783655772169903
s128_ffn_contract,17.57699177528442,r10_c12_k64,17.57699177528442,r10_c12_k64,broadcast,17.062528556970964,r10_c12_k64,local,0.0,3.015163998675141
s256_qkv,27.49130149155912,r10_c12_k64,27.49130149155912,r10_c12_k64,broadcast,26.72214059517216,r10_c12_k64,local,0.0,2.8783655772169903
s256_attn_out,9.16376716385304,r10_c12_k64,9.16376716385304,r10_c12_k64,broadcast,8.90738019839072,r10_c12_k64,local,0.0,2.878365577216968
s256_ffn_expand,35.245258322511695,r10_c12_k64,35.245258322511695,r10_c12_k64,broadcast,34.25915460919508,r10_c12_k64,local,0.0,2.8783655772169903
s256_ffn_contract,35.15398355056884,r10_c12_k64,35.15398355056884,r10_c12_k64,broadcast,34.12505711394193,r10_c12_k64,local,0.0,3.015163998675141
