name,topology,rows,cols,k_tile,pe_count,seed_count,median_period_ns,median_fmax_mhz,seed_cv_pct,median_ff,median_bram
r09_c09_k192,broadcast,9,9,192,81,3,20.735000001977443,48.22763442993164,3.978760711554875,2776.0,4.0
r09_c09_k192,local,9,9,192,81,3,17.83400006286093,56.072669982910156,2.73218742583943,4651.0,4.0
r09_c09_k384,broadcast,9,9,384,81,3,20.141000216588896,49.649967193603516,3.607716927106782,2778.0,4.0
r09_c09_k384,local,9,9,384,81,3,17.301999771501453,57.79678726196289,2.7494928978750726,4654.0,4.0
r09_c13_k192,broadcast,9,13,192,117,3,21.267000299440376,47.02120590209961,1.288235245295464,3954.0,5.0
r09_c13_k192,local,9,13,192,117,3,17.889000493451547,55.900272369384766,6.2752502269559844,6739.0,5.0
r09_c13_k384,broadcast,9,13,384,117,3,22.672001750493298,44.10726547241211,3.157043553062476,3956.0,5.0
r09_c13_k384,local,9,13,384,117,3,19.280000706054714,51.867218017578125,5.870562834230961,6742.0,5.0
r13_c09_k192,broadcast,13,9,192,117,3,22.21899950594121,45.006526947021484,2.1702236775534853,3957.0,5.0
r13_c09_k192,local,13,9,192,117,3,18.564999949717905,53.86479949951172,4.057303240457025,6745.0,5.0
r13_c09_k384,broadcast,13,9,384,117,3,22.523001653242485,44.39905548095703,3.804259528291166,3959.0,5.0
r13_c09_k384,local,13,9,384,117,3,18.208999223277935,54.91790008544922,8.746326590897251,6748.0,5.0
r11_c13_k192,broadcast,11,13,192,143,3,22.42399959214161,44.59507751464844,7.7714539365129935,4801.0,6.0
r11_c13_k192,local,11,13,192,143,3,18.058000331891805,55.37711715698242,1.225140472203507,8155.0,6.0
r11_c13_k384,broadcast,11,13,384,143,3,21.74899976371326,45.9791259765625,2.899773146972726,4803.0,6.0
r11_c13_k384,local,11,13,384,143,3,16.900999460883494,59.16809844970703,4.249846283496857,8158.0,6.0
r13_c11_k192,broadcast,13,11,192,143,3,21.927000446496308,45.605873107910156,2.967426834655695,4803.0,6.0
r13_c11_k192,local,13,11,192,143,3,17.50799933185568,57.11674880981445,5.389322515598378,8159.0,6.0
r13_c11_k384,broadcast,13,11,384,143,3,22.664000469630626,44.12283706665039,0.6483934864790132,4805.0,6.0
r13_c11_k384,local,13,11,384,143,3,18.026999927037632,55.472347259521484,5.202230338913805,8162.0,6.0
